, VRmCT / CRZ, VRmCC / CRZ, mCT>150 / CRZ, mCT>200 / CRZ, mCT>250 / CRZ, CRT / CRZ, CRW / CRZ, VRmCT / CRT, VRmCC / CRT, mCT>150 / CRT, mCT>200 / CRT, mCT>250 / CRT, CRZ / CRT, CRW / CRT, VRmCT / CRW, VRmCC / CRW, mCT>150 / CRW, mCT>200 / CRW, mCT>250 / CRW, CRZ / CRW, CRT / CRW
ttbar_tune, 2.6, 5.2, 15.8, 13.4, 9.3, 0.8, 6.1, 1.8, 4.3, 14.9, 12.6, 8.5, 0.8, 5.3, 3.4, 0.9, 9.1, 6.9, 3.0, 5.8, 5.0
ttbar_scalemaxUPs, 8.3, 2.5, 14.7, 16.4, 22.4, 3.9, 4.6, 4.8, 0.0, 11.4, 12.9, 19.1, 0.4, 1.4, 3.9, 0.0, 11.7, 13.4, 18.5, 1.6, 2.8
ttbar_scalemaxDOWNs, 0.6, 3.9, 0.0, 0.0, 0.0, 0.4, 1.5, 1.8, 4.9, 0.0, 0.0, 0.0, 3.8, 2.7, 0.0, 3.7, 0.0, 0.0, 0.0, 4.4, 1.4
ttst_Gens, 0.3, 2.1, 13.8, 18.4, 18.8, 1.9, 1.3, 1.6, 4.0, 11.9, 16.5, 17.0, 1.9, 3.2, 1.5, 0.8, 15.1, 19.6, 20.1, 1.3, 3.2
ttst_Gens_stat, 1.6, 2.7, 14.1, 18.8, 19.8, 2.5, 2.1, 1.9, 4.3, 12.2, 17.0, 18.0, 2.5, 3.3, 1.9, 1.8, 15.3, 20.1, 21.0, 2.1, 3.3
ttst_PSs, 3.1, 2.6, 18.9, 23.0, 23.0, 3.4, 3.9, 6.3, 5.8, 21.6, 25.5, 25.5, 3.3, 7.1, 0.9, 1.4, 15.6, 19.9, 19.8, 4.1, 7.6
ttst_ISRs, 1.1, 0.7, 10.3, 9.8, 8.2, 0.5, 0.6, 1.6, 0.2, 10.8, 10.3, 8.7, 0.5, 0.1, 1.7, 0.1, 10.9, 10.4, 8.7, 0.6, 0.1
ttst_interferences, 6.9, 0.0, 11.3, 18.1, 19.2, 7.0, 1.3, 0.1, 7.5, 4.6, 12.0, 13.1, 7.5, 6.1, 5.7, 1.3, 10.1, 17.0, 18.1, 1.3, 5.7
ttst_interferences_stat, 7.1, 1.9, 11.6, 18.5, 20.0, 7.2, 2.3, 1.2, 7.8, 5.3, 12.6, 14.4, 7.7, 6.2, 5.8, 2.3, 10.5, 17.5, 19.0, 2.3, 5.9
ttst_DRDS, 1.1, 2.2, 12.8, 15.3, 17.9, 2.0, 2.1, 0.9, 0.1, 14.6, 17.0, 19.5, 2.0, 4.1, 3.3, 4.3, 10.9, 13.5, 16.1, 2.1, 4.2
ttst_DRDS_stat, 1.2, 2.2, 12.8, 15.3, 17.9, 2.1, 2.1, 0.9, 0.3, 14.6, 17.0, 19.5, 2.0, 4.1, 3.3, 4.4, 11.0, 13.5, 16.1, 2.2, 4.2
ttst_schan, 0.0, 0.0, 0.2, 0.1, 0.2, 0.0, 0.0, 0.0, 0.0, 0.2, 0.1, 0.2, 0.0, 0.0, 0.0, 0.0, 0.2, 0.1, 0.1, 0.0, 0.0
